username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score
ALLMEP,the alliance for middle east peace is a network of over 160 ngos conducting peacebuilding between israelis and palestinians. rt≠endorsement,washington dc,2,0.334269186079594,0.3315473274132411,0.3341834865071649,0.334269186079594,0.6657308139204059
rachsieg,covering the federal reserve and economy for,washington dc,2,0.334269186079594,0.3315473274132411,0.3341834865071649,0.334269186079594,0.6657308139204059
wzo_official,the world zionist organization is committed to promoting zionist ideals and a love for israel as vital and positive elements of contemporary jewish life.,jerusalem israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
assaf_refugees,א.ס.ף - ארגון סיוע לפליטים ומבקשי מקלט בישראל | הגנה מעמד חוקי זכויות חברתיות וכלכליות לפליטים ולמבקשי מקלט בישראל | assaf aid ngo for refugees in israel,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
RaabTalia,proud & unapologetically jewish. educator activist and content creator. speaking up for israel and the jewish people.,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
MOhadIsrael,"محلل وصحفي مستقل بالجيروزاليم بوست.
خبروني عالخاص.

freelance analyst & writer for",jerusalem israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
onejewishstate,a think tank advancing the case for israeli sovereignty over judea & samaria. founded by,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
NoaShpigel,correspondent for,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
homelandguards,citizens for clean energy and industry אזרחים לקידום אנרגיה נקיה ועצירת תעשיה מזהמת.,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
omdimbeyachad,תנועה יהודית-ערבית לשלום שוויון וצדק חברתי حراك يهودى-عربي للسلام، مساواة وعدالة اجتماعية jewish-arab movement for peace equality & social justice in israel,,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
TimesofIsrael,the one-stop news site for israel the region & the jewish world. follow,jerusalem israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
mountlevnon,advocating for a free maronite state committed to a mediterranean alliance with israel  cyprus and greece.,mount lebanon,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
mikispitzer,"landscape photographer.
 writer for",israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
IsraelTrthPrjkt,championing truth | defending israel | countering misinformation | advocates for peace justice & clarity in the narrative | facts over fiction |,,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
haimetgarr,journalist ch 12 israel tv host     columnist for maariv,,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
AIPAC,strengthening bipartisan support for the u.s.-israel relationship.,,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
Koral_hazan10,professional footballer for hapoel tel aviv & israel national team,,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
LionsOfZion_ORG,supporting israel and jewish communities worldwide. promoting peace combating falsehoods and spreading the truth. join us in uniting voices for israel.,,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
AiroboticsUAV,"trusted autonomous drones. 
mission critical drone infrastructure for smart cities public safety defense hls and industrial services.",israel usa,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
vanola1,social media is the platform for sharing individual's knowledge,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
MavIsrael,a non-profit organization of israeli women activists dedicated to ending the occupation. we advocate for peace non-violence and a democratic israel.,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
AlfiGuri,basson player for events and bar mitzvahs,israel-la-ramat gan-respect,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
JISS_Israel,the jerusalem institute for strategy and security (jiss) is a think tank that offers security expertise for a strong israel and united jerusalem.,jerusalem israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
KnessetENG,updates from israel’s parliament. for informative purposes only not as a substitute for official statements by the knesset or its units. rt /= endorsements,jerusalem israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
CAMERAorg,camera - committee for accuracy in middle east reporting & analysis. media-monitoring & research. follows & rt ≠ endorsement.,usa & israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
AdamHoffm,researcher at the center for political research,jerusalem israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
acri_online,"association for civil rights in israel (acri)

stay up-to-tweet with israel's oldest and largest human rights ngo.",israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
libby_alon,us correspondent for,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
Hadash_org,"חד''ש - החזית הדמוקרטית לשלום ושוויון 
hadash - democratic front for peace and equality",israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
AlonPinkas,cos/fp advisor to 1 pm & 4 of israel's best foreign ministers since 70ce. fmr. amb. consul general in ny. played for the arsenal 1979 fa cup final,tel aviv israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
omerdos,phd | spokesperson for the israeli prime minister,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
RegavimEng,regavim is a social movement established to promote a zionist agenda for the state of israel and to protect its resources,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
YaronDeckel,regional director for canada the jewish agency,israel,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
hagigat1,"israel-china-ecuador-israel. sports (football athletics basketball) coffee and mobility
not the bs engineer you'd expect (well not an engineer for start",,0,0.3343508896401965,0.3343508896401965,0.3341832568986156,0.3314658534611878,0.6656491103598035
